,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,a.Team,a.Match Up,a.Game Date,a.W/L,a.PTS,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF,a.+/-
107,PHX,PHX vs. MIL,03/14/2023,L,104,41,95,43.2,8,23,34.8,14,16,87.5,8,33,41,23,7,3,11,26,-12,MIL,MIL @ PHX,03/14/2023,W,116,40,85,47.1,12,39,30.8,24,37,64.9,13,33,46,24,8,6,13,15,12
108,POR,POR vs. NYK,03/14/2023,L,107,38,99,38.4,17,45,37.8,14,18,77.8,11,27,38,22,8,3,12,19,-16,NYK,NYK @ POR,03/14/2023,W,123,42,81,51.9,15,35,42.9,24,34,70.6,9,43,52,23,8,8,13,13,16
109,DAL,DAL vs. MEM,03/13/2023,L,88,35,90,38.9,12,46,26.1,6,8,75.0,8,33,41,23,3,3,13,16,-16,MEM,MEM @ DAL,03/13/2023,W,104,38,83,45.8,12,37,32.4,16,19,84.2,7,40,47,23,9,3,16,17,16
110,HOU,HOU vs. BOS,03/13/2023,W,111,40,90,44.4,11,35,31.4,20,27,74.1,15,33,48,27,9,2,11,21,2,BOS,BOS @ HOU,03/13/2023,L,109,39,87,44.8,12,42,28.6,19,21,90.5,10,28,38,19,7,5,14,22,-2
111,MIA,MIA vs. UTA,03/13/2023,W,119,37,79,46.8,14,34,41.2,31,36,86.1,9,28,37,20,12,4,13,13,4,UTA,UTA @ MIA,03/13/2023,L,115,43,90,47.8,16,38,42.1,13,18,72.2,16,32,48,31,7,4,18,25,-4
112,ATL,ATL vs. MIN,03/13/2023,L,115,44,97,45.4,4,22,18.2,23,28,82.1,18,33,51,17,6,4,16,19,-21,MIN,MIN @ ATL,03/13/2023,W,136,54,92,58.7,12,28,42.9,16,23,69.6,5,32,37,39,12,10,13,22,21
113,DET,DET vs. IND,03/13/2023,W,117,48,100,48.0,14,36,38.9,7,10,70.0,19,33,52,28,10,5,15,21,20,IND,IND @ DET,03/13/2023,L,97,36,86,41.9,10,34,29.4,15,24,62.5,13,29,42,23,7,5,16,15,-20
114,SAC,SAC vs. MIL,03/13/2023,L,124,46,104,44.2,21,50,42.0,11,15,73.3,15,30,45,31,4,2,9,21,-9,MIL,MIL @ SAC,03/13/2023,W,133,50,86,58.1,15,33,45.5,18,22,81.8,5,38,43,29,2,4,13,18,9
115,GSW,GSW vs. PHX,03/13/2023,W,123,45,83,54.2,19,39,48.7,14,24,58.3,9,32,41,28,8,6,16,21,11,PHX,PHX @ GSW,03/13/2023,L,112,46,95,48.4,4,21,19.0,16,22,72.7,17,30,47,25,8,4,14,23,-11
116,SAS,SAS vs. OKC,03/12/2023,L,90,33,88,37.5,10,36,27.8,14,19,73.7,10,40,50,24,3,7,19,18,-12,OKC,OKC @ SAS,03/12/2023,W,102,36,95,37.9,10,39,25.6,20,23,87.0,12,43,55,26,8,3,9,19,12
117,PHI,PHI vs. WAS,03/12/2023,W,112,41,80,51.3,11,29,37.9,19,23,82.6,9,33,42,29,6,10,9,19,19,WAS,WAS @ PHI,03/12/2023,L,93,34,84,40.5,6,26,23.1,19,23,82.6,6,29,35,19,4,5,10,20,-19
